page_type,location_country,referrer_host,ua_os,hour,total_orders_placed,total_checkouts,total_carts,total_sessions,total_pageviews,total_conversion,total_bounce_rate,ua_form_factor,referrer_source,referrer_name
Product,Bosnia and Herzegovina,jones-shelton.com,iOS,2020-08-28 09:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Product,Bosnia and Herzegovina,m.instagram.com,Linux,2021-02-03 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Instagram
Checkout,Dominica,Unknown,iOS,2021-07-13 05:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Gabon,mclean.net,Mac OS X,2021-01-29 07:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,
Product,Bosnia and Herzegovina,facebook.com,Linux,2021-03-12 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Facebook
Homepage,Cape Verde,facebook.com,Mac OS X,2021-02-15 01:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Facebook
Product,Bosnia and Herzegovina,l.instagram.com,Windows,2020-12-12 04:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Instagram
Checkout,Cape Verde,Unknown,Windows,2020-08-05 19:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Gabon,myers.com,Mac OS X,2020-10-05 04:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Homepage,Iran,Unknown,Android,2021-02-19 13:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Bermuda,Unknown,iOS,2021-08-18 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Collection,Dominica,Unknown,Linux,2021-02-16 08:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,www.google.com,Windows,2020-12-31 01:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Collection,Cape Verde,jones-shelton.com,Android,2019-08-26 23:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Collection,Cape Verde,www.google.com,Android,2019-08-21 02:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Google
Homepage,Bosnia and Herzegovina,Unknown,Windows,2021-04-06 12:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Mayotte,campbell.org,Mac OS X,2019-12-05 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Product,Gabon,bowman.info,Mac OS X,2020-08-22 22:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Homepage,Bosnia and Herzegovina,Unknown,Android,2020-01-26 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,Unknown,Other,2019-08-06 00:00:00,2,2,3,6,9,0.3333333333333333,0.5,Other,,
Homepage,Cape Verde,mclean.net,Linux,2019-10-14 22:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,
Homepage,Dominica,mclean.net,Linux,2019-08-05 00:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,
Homepage,Bosnia and Herzegovina,www.instagram.com,iOS,2021-05-27 14:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Lesotho,jones-shelton.com,Android,2019-08-05 19:00:00,3,5,5,6,17,0.5,0.0,Mobile,Unknown,
Homepage,Cape Verde,Unknown,Android,2021-03-29 13:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,Unknown,iOS,2020-12-20 08:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Bosnia and Herzegovina,Unknown,Windows,2019-08-10 17:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,Unknown,Linux,2021-01-20 10:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Cape Verde,l.instagram.com,Windows,2020-10-14 10:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Instagram
Homepage,Bosnia and Herzegovina,Unknown,Windows,2020-08-30 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,Unknown,Mac OS X,2019-11-08 23:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Gabon,Unknown,Windows,2020-12-14 03:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Dominica,jones-shelton.com,Linux,2020-05-01 00:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Collection,United States Virgin Islands,www.google.com,iOS,2021-02-09 04:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Google
Homepage,Dominica,Unknown,Linux,2021-09-14 23:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,Unknown,Linux,2021-07-01 09:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Collection,French Guiana,www.instagram.com,iOS,2020-09-11 09:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Product,South Georgia and the South Sandwich Islands,Unknown,Linux,2020-09-28 15:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Serbia,Unknown,iOS,2021-06-06 09:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Dominica,Unknown,Mac OS X,2020-04-20 19:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,www.google.com,Android,2021-05-09 22:00:00,1,1,1,3,5,0.3333333333333333,0.33333333333333337,Mobile,Search,Google
Homepage,Dominica,mclean.net,Linux,2020-09-03 14:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,
Homepage,Bahamas,Unknown,Mac OS X,2020-09-10 05:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Bosnia and Herzegovina,Unknown,Windows,2021-10-31 03:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,Unknown,iOS,2021-09-15 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Dominica,mclean.net,Android,2021-02-11 05:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Homepage,Bosnia and Herzegovina,Unknown,Mac OS X,2021-11-09 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Cyprus,www.google.co.za,Android,2021-11-17 03:00:00,3,3,4,5,15,0.6,0.0,Mobile,Search,Google
Homepage,Iran,Unknown,Android,2019-08-16 01:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Mayotte,Unknown,Android,2021-09-18 03:00:00,2,2,3,5,12,0.4,0.0,Mobile,,
Homepage,Bosnia and Herzegovina,jones-shelton.com,Windows,2020-08-22 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Homepage,Bosnia and Herzegovina,Unknown,iOS,2019-10-24 18:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Gabon,Unknown,Mac OS X,2020-09-28 08:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Collection,Gabon,Unknown,Linux,2020-09-18 04:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Gabon,cook.org,Other,2021-01-15 04:00:00,0,0,0,1,1,0.0,1.0,Other,Direct,
Collection,Cape Verde,www.google.com,iOS,2020-04-13 17:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Google
Homepage,Cape Verde,Unknown,Android,2020-11-21 12:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Dominica,Unknown,Windows,2019-07-25 00:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,facebook.com,Android,2021-03-22 03:00:00,2,2,4,5,11,0.4,0.0,Mobile,Social,Facebook
Homepage,Bosnia and Herzegovina,Unknown,Android,2020-03-30 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Dominica,Unknown,Android,2021-02-26 21:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,Unknown,Android,2021-11-16 14:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Dominica,Unknown,Android,2019-11-02 07:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,www.instagram.com,iOS,2019-08-11 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Angola,www.google.com,Linux,2019-08-07 00:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Product,Dominica,Unknown,Mac OS X,2021-07-08 07:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,www.google.co.in,Android,2020-05-13 16:00:00,3,5,8,11,11,0.2727272727272727,1.0,Mobile,Search,Google
Homepage,Dominica,Unknown,Android,2020-12-28 22:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Maldives,Unknown,Mac OS X,2021-07-08 19:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Bosnia and Herzegovina,Unknown,Chrome OS,2020-04-27 08:00:00,3,6,9,13,21,0.23076923076923078,0.3846153846153846,Mobile,,
Product,Dominica,Unknown,Android,2019-08-14 17:00:00,2,4,6,8,9,0.25,0.875,Mobile,,
Homepage,Bosnia and Herzegovina,Unknown,iOS,2020-05-02 07:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Cape Verde,Unknown,Mac OS X,2021-10-02 11:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,Unknown,Windows,2020-07-18 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Cape Verde,Unknown,iOS,2020-07-17 13:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Cart,Bermuda,Unknown,Android,2021-07-23 08:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,harrell.com,Linux,2021-09-24 00:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Homepage,Dominica,bowman.info,Android,2020-08-09 23:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Product,Cape Verde,jones-shelton.com,Windows,2020-11-09 23:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Checkout,Gabon,mclean.net,Android,2019-08-13 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Homepage,Dominica,Unknown,iOS,2021-05-04 05:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Gabon,jones-shelton.com,Windows,2020-09-02 21:00:00,1,2,2,3,4,0.3333333333333333,0.6666666666666667,Desktop,Unknown,
Homepage,Cape Verde,www.google.com,Mac OS X,2021-09-28 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Homepage,Gabon,Unknown,iOS,2021-09-04 01:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Iran,www.google.com,Android,2020-01-19 23:00:00,1,1,1,3,5,0.3333333333333333,0.33333333333333337,Mobile,Search,Google
Collection,Dominica,Unknown,Windows,2021-09-01 04:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Martinique,Unknown,iOS,2020-06-21 14:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,Unknown,Linux,2021-02-02 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Gabon,Unknown,Linux,2020-10-22 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Cape Verde,www.instagram.com,Windows,2020-08-15 15:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Instagram
Product,Dominica,jones-shelton.com,Android,2021-10-19 06:00:00,4,5,6,7,21,0.5714285714285714,0.0,Mobile,Unknown,
Homepage,Dominica,Unknown,Android,2020-09-20 20:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Guyana,Unknown,Android,2019-08-09 09:00:00,4,8,11,14,24,0.2857142857142857,0.2857142857142857,Mobile,,
Homepage,Cape Verde,l.instagram.com,Android,2020-10-31 21:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Bosnia and Herzegovina,harrell.com,Linux,2020-05-02 01:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Homepage,Mayotte,Unknown,Android,2020-09-11 14:00:00,2,3,4,6,10,0.3333333333333333,0.33333333333333337,Mobile,,
Homepage,Cape Verde,Unknown,Android,2020-11-16 09:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Dominica,Unknown,Windows,2020-09-26 17:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,jones-shelton.com,iOS,2020-08-10 02:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Homepage,Falkland Islands (Malvinas),Unknown,Windows,2019-10-24 15:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Cape Verde,jones-shelton.com,iOS,2021-04-20 09:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Homepage,Dominica,Unknown,Android,2019-08-07 23:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,www.google.ca,Windows,2020-03-27 04:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Cart,Cyprus,Unknown,Android,2020-11-29 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,jones-shelton.com,iOS,2019-10-17 04:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Homepage,Falkland Islands (Malvinas),Unknown,Android,2021-09-16 11:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,jones-shelton.com,Windows,2021-04-04 18:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Homepage,Cape Verde,mclean.net,Android,2021-02-26 20:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Homepage,Gabon,Unknown,Linux,2021-08-05 07:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,Unknown,Linux,2021-08-11 11:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,Unknown,Android,2020-02-11 16:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Collection,Bermuda,Unknown,iOS,2019-08-03 21:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Collection,Cape Verde,Unknown,Linux,2019-08-13 08:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,jones-shelton.com,Mac OS X,2021-01-01 15:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Homepage,Dominica,Unknown,iOS,2020-11-09 13:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,Unknown,Windows,2019-10-01 07:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Slovakia (Slovak Republic),Unknown,Android,2021-03-17 07:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Cape Verde,Unknown,Other,2020-11-21 04:00:00,4,5,6,11,25,0.36363636363636365,0.0,Other,,
Product,China,mclean.net,Android,2020-12-16 07:00:00,2,4,6,8,16,0.25,0.0,Mobile,Direct,
Homepage,Cape Verde,Unknown,iOS,2019-08-15 12:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,Unknown,iOS,2021-09-13 00:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Search,Slovakia (Slovak Republic),www.google.com,Android,2021-10-12 08:00:00,2,2,2,5,12,0.4,0.0,Mobile,Search,Google
Product,Dominica,Unknown,Android,2021-04-11 08:00:00,2,2,2,4,8,0.5,0.0,Mobile,,
Homepage,Sweden,mclean.net,iOS,2020-06-25 16:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Homepage,Bangladesh,Unknown,Windows,2020-04-08 08:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Mayotte,Unknown,Android,2020-10-03 16:00:00,2,4,5,8,8,0.25,1.0,Mobile,,
Homepage,Gabon,harrell.com,Android,2019-08-13 04:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Homepage,Dominica,www.instagram.com,Android,2020-08-21 15:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Product,Gabon,Unknown,iOS,2020-12-20 20:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Bermuda,Unknown,Android,2021-02-19 19:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Gabon,myers.com,iOS,2020-06-03 16:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Product,Bangladesh,Unknown,Chrome OS,2020-11-24 16:00:00,6,10,11,15,25,0.4,0.33333333333333337,Mobile,,
Homepage,Cape Verde,Unknown,Android,2019-08-10 21:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Botswana,facebook.com,Android,2020-11-01 00:00:00,1,1,2,3,7,0.3333333333333333,0.0,Mobile,Social,Facebook
Homepage,Dominica,mclean.net,Linux,2020-10-06 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,
Homepage,Bosnia and Herzegovina,Unknown,iOS,2020-12-17 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,mclean.net,iOS,2019-11-24 00:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Homepage,Bosnia and Herzegovina,myers.com,Android,2021-02-23 18:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Product,Estonia,Unknown,Mac OS X,2021-02-01 20:00:00,2,4,6,9,15,0.2222222222222222,0.33333333333333337,Desktop,,
Product,Bangladesh,Unknown,Other,2019-08-06 04:00:00,7,14,20,21,49,0.3333333333333333,0.0,Other,,
Homepage,Slovakia (Slovak Republic),jones-shelton.com,Windows,2020-11-15 09:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Product,Dominica,mclean.net,iOS,2019-11-27 00:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Homepage,Bosnia and Herzegovina,mclean.net,iOS,2021-12-05 07:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Homepage,Falkland Islands (Malvinas),myers.com,Windows Phone,2020-10-20 17:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Homepage,Cape Verde,mclean.net,Linux,2020-11-22 08:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,
Homepage,Cape Verde,l.instagram.com,iOS,2020-03-24 20:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Product,Dominica,jones-shelton.com,iOS,2020-04-11 14:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Homepage,Dominica,m.instagram.com,iOS,2021-12-01 15:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Cape Verde,Unknown,Mac OS X,2019-07-27 23:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,jones-shelton.com,Linux,2020-10-25 17:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Product,Croatia,Unknown,Windows,2020-08-28 07:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Gabon,Unknown,iOS,2020-05-26 07:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Bosnia and Herzegovina,Unknown,Android,2021-11-06 04:00:00,3,3,4,8,19,0.375,0.0,Mobile,,
Homepage,Cape Verde,Unknown,Windows,2020-06-07 11:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Bosnia and Herzegovina,Unknown,iOS,2021-01-25 21:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Indonesia,myers.com,Other,2019-12-28 09:00:00,1,2,3,4,5,0.25,0.75,Other,Unknown,
Homepage,Iran,m.instagram.com,Mac OS X,2020-09-01 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Instagram
Product,Dominica,Unknown,Android,2019-09-25 13:00:00,2,4,6,9,10,0.2222222222222222,0.8888888888888888,Mobile,,
Product,Gabon,www.instagram.com,Windows,2020-07-03 15:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Instagram
Product,Cape Verde,Unknown,Android,2020-12-13 07:00:00,2,2,4,7,15,0.2857142857142857,0.0,Mobile,,
Homepage,Bosnia and Herzegovina,Unknown,Windows,2019-10-20 23:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Iran,www.google.com,Linux,2019-08-06 01:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Checkout,Dominica,Unknown,Linux,2020-10-21 19:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Cape Verde,Unknown,iOS,2020-11-18 20:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,Unknown,iOS,2020-06-29 07:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Saint Helena,Unknown,iOS,2021-04-04 19:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,Unknown,iOS,2021-09-21 18:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,Unknown,Android,2020-05-26 05:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Gabon,www.instagram.com,iOS,2020-06-22 22:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Western Sahara,facebook.com,Windows,2021-01-03 08:00:00,2,2,4,7,7,0.2857142857142857,1.0,Desktop,Social,Facebook
Homepage,Dominica,Unknown,Android,2021-01-05 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Dominica,mclean.net,Mac OS X,2021-10-09 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,
Cart,Dominica,Unknown,Android,2021-08-15 06:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,jones-shelton.com,Chrome OS,2019-08-10 12:00:00,1,1,1,3,5,0.3333333333333333,0.33333333333333337,Mobile,Unknown,
Homepage,Dominica,Unknown,iOS,2020-12-26 20:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,mclean.net,Mac OS X,2021-05-02 21:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,
Homepage,Dominica,Unknown,Windows,2021-02-14 03:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Cape Verde,Unknown,iOS,2019-07-28 06:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,Unknown,Android,2019-08-20 01:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Cape Verde,myers.com,Linux,2021-12-05 08:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Homepage,Saint Helena,jones-shelton.com,iOS,2019-08-04 01:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Homepage,Bosnia and Herzegovina,Unknown,Android,2020-03-17 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,Unknown,Android,2021-09-29 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Vanuatu,Unknown,iOS,2020-05-17 13:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Dominica,Unknown,Mac OS X,2020-10-02 12:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Bosnia and Herzegovina,Unknown,Mac OS X,2020-09-17 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,Unknown,Windows,2019-08-13 11:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Maldives,Unknown,iOS,2020-09-24 23:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Bangladesh,l.facebook.com,iOS,2021-04-13 00:00:00,4,7,9,14,24,0.2857142857142857,0.2857142857142857,Mobile,Social,Facebook
Homepage,Dominica,myers.com,iOS,2021-09-19 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Product,Bosnia and Herzegovina,jones-shelton.com,iOS,2020-04-05 17:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Homepage,Botswana,Unknown,Android,2021-02-01 20:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Serbia,www.google.com,Android,2019-10-27 03:00:00,4,5,5,7,18,0.5714285714285714,0.0,Mobile,Search,Google
Homepage,Dominica,Unknown,Android,2021-05-06 00:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,facebook.com,iOS,2019-08-15 13:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Facebook
Product,Bosnia and Herzegovina,l.instagram.com,iOS,2020-12-15 02:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Saint Helena,Unknown,Linux,2019-07-26 08:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Angola,mclean.net,iOS,2021-07-15 17:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Cart,Bosnia and Herzegovina,l.instagram.com,Windows,2019-08-05 18:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Instagram
Product,Cape Verde,Unknown,Android,2019-08-11 03:00:00,2,2,4,6,7,0.3333333333333333,0.8333333333333334,Mobile,,
Product,Bosnia and Herzegovina,Unknown,Linux,2020-07-14 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Cape Verde,Unknown,Windows,2021-12-15 13:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
